Name,num_ratings,positive_rating,price,wine_type,country,world,grape,region,rating_score
Beaujolais Lantignié 2016 Louis Jadot,37,27,11.99,red wine,french,old world,,,0.7297297297297297
Beefsteak Club Malbec 2016 Mendoza,206,171,9.99,red wine,argentinian,new world,,,0.8300970873786407
Bellingham 'The Bernard Series' Old Vine Chenin Blanc 2017 Western Cape,72,63,13.49,white wine,south-african,new world,,,0.875
Bellingham 'The Bernard Series' Viognier 2017 Western Cape,60,54,13.49,white wine,south-african,new world,,,0.9
Bellingham Pinopasso Pinotage 2015 Coastal Region,58,52,10.99,red wine,south-african,new world,,,0.896551724137931
"Ben Marco Malbec 2016/17 Dominio del Plata, Mendoza",86,77,14.99,red wine,argentinian,new world,,,0.8953488372093024
Beringer Founders' Estate Cabernet Sauvignon 2012 Central California,6,4,14.99,red wine,,,,california,0.6666666666666666
"Beringer Founders' Estate Chardonnay 2015/16, Central and N. California",7,7,14.99,white wine,,,,california,1
Beringer Knights Valley Napa Cabernet 2015,0,0,30,red wine,,,,,
Beyerskloof Reserve Pinotage 2016 Western Cape,112,104,10.99,red wine,south-african,new world,,,0.9285714285714286
Bienbebido Pulpo Albariño 2016 Vintae,56,53,8.99,white wine,spanish,old world,,,0.9464285714285714
Black Cottage Pinot Gris 2016 Marlborough,28,26,12.99,white wine,new-zealand,new world,,marlborough wine,0.9285714285714286
Black Cottage Rosé 2016 Marlborough,17,17,12.99,rose wine,new-zealand,new world,,marlborough wine,1
Black Cottage Sauvignon Blanc 2016 Marlborough,120,109,11.99,white wine,new-zealand,new world,sauvignon blanc,marlborough wine,0.9083333333333333
Blind River Tekau Sauvignon Blanc 2015 Awatere Valley,9,7,22,fine wine,,,sauvignon blanc,,0.7777777777777778
Bodega Volcanes Carmenere 2016,29,24,11.99,red wine,chilean,new world,,,0.8275862068965517
Boschendal Lanoy Sauvignon Blanc 2016 Coastal Region,70,59,9.99,white wine,south-african,new world,sauvignon blanc,,0.8428571428571429
Bourgogne Chardonnay 'Les Chenaudières' 2016 Cave de Lugny,67,61,11.99,white wine,french,old world,,,0.9104477611940298
Bourgogne Chardonnay Domaine Jomain 2016,5,4,16.99,white wine,,,,,0.8
Bourgogne Chardonnay Thibert,2,1,14.99,white wine,french,old world,,burgundy,0.5
Bourgogne Côte Chalonnaise 2016 La Buxynoise,9,8,13.99,white wine,french,old world,,,0.8888888888888888
Bourgogne Pinot Noir 2015 Louis Latour,25,15,16.99,red wine,french,old world,pinot noir,,0.6
Bourgogne Pinot Noir 2015 Nicolas Potel,82,68,13.99,red wine,french,old world,pinot noir,,0.8292682926829268
Bouvet Ladubay Saumur NV France,97,93,12.99,white wine,french,old world,,,0.9587628865979382
Bouvet Saumur Rosé Brut ,38,37,12.99,white wine,french,old world,,,0.9736842105263158
Brancott Estate Sauvignon Blanc 2016 Marlborough,326,298,10.99,white wine,new-zealand,new world,sauvignon blanc,marlborough wine,0.9141104294478528
Brown Brothers Orange Muscat and Flora Half Bottle,16,16,8.99,white wine,australian,new world,,,1
Caixas Albariño 2016 Rías Baixas,129,120,9.99,white wine,spanish,old world,,,0.9302325581395349
Campofiorin 2014 Masi,68,58,14.99,red wine,italian,old world,,,0.8529411764705882
Capaia Merlot Cabernet 2015,82,72,10.99,red wine,south-african,new world,merlot,,0.8780487804878049
Capo Martino 2012 Jermann,0,0,50,fine wine,italian,old world,,,
Carlino Bianco 2016,5,4,5.99,white wine,,,,,0.8
Carlino Rosso 2016,17,13,5.99,red wine,italian,old world,,,0.7647058823529411
Castelnau de Suduiraut 2011 Sauternes,3,3,13.99,white wine,french,old world,sauvignon blanc,bordeaux,1
Castillo de Albai Rioja,4,4,8.99,red wine,,,,,1
Catena Barrel Fermented Chardonnay 2016 Mendoza,30,26,13.99,white wine,argentinian,new world,chardonnay,,0.8666666666666667
Catena Malbec 2015 Mendoza,198,186,13.99,red wine,argentinian,new world,malbec,,0.9393939393939394
Ch. Clos de Vaulicheres Chablis 1er Cru Vaucoupin 2015,0,0,27.99,fine wine,,,,chablis,
"Chablis 'La Maladière' 2015 William Fèvre",24,21,16.99,white wine,french,old world,chardonnay,burgundy,0.875
Chablis 1er Cru 'Montmains' 2013 Vocoret,11,11,22.99,white wine,french,old world,chardonnay,burgundy,1
Chablis 1er Cru Côte de Léchet 2003 Defaix-Raveneau,2,2,30,fine wine,french,old world,,burgundy,1
Chablis 1er Cru Fourchaume 2016 Séguinot-Bordet,7,6,25,fine wine,french,old world,chardonnay,burgundy,0.8571428571428571
Chablis 1er Cru Fourchaume Domaine Chatelain,2,2,27.99,white wine,french,old world,,burgundy,1
Chablis Elodie Duprés 2016,21,20,16.99,white wine,french,old world,chardonnay,burgundy,0.9523809523809523
Chablis Grand Acacia J. Moreau & Fils,0,0,18.99,white wine,french,old world,,burgundy,
Chablis Vieilles Vignes 2016 Vocoret,12,12,19.99,white wine,french,old world,,burgundy,1
Champ Libre Chenin Blanc 2016,11,7,9.99,white wine,french,old world,sauvignon blanc,,0.6363636363636364
Chandon Brut NV Argentina,29,27,17.99,white wine,argentinian,new world,chardonnay,,0.9310344827586207
Chandon Rosé NV Argentina,16,16,17.99,white wine,,,chardonnay,,1
Chapel Down Brut NV England,44,42,22.99,white wine,,,chardonnay,,0.9545454545454546
Charmes De Kirwan 2010,7,6,35,fine wine,french,old world,,bordeaux,0.8571428571428571
Chateau Cotes De Blaignan 2014 Medoc,10,8,12.99,red wine,french,old world,merlot,bordeaux,0.8
